Segundo,Pose
28.100000,BRAZOS_CRUZADOS
28.200000,BRAZOS_CRUZADOS
28.300000,BRAZOS_CRUZADOS
28.400000,BRAZOS_CRUZADOS
28.500000,BRAZOS_CRUZADOS
28.600000,BRAZOS_CRUZADOS
28.700000,BRAZOS_CRUZADOS
28.800000,BRAZOS_CRUZADOS
28.900000,BRAZOS_CRUZADOS
29.000000,BRAZOS_CRUZADOS
29.100000,BRAZOS_CRUZADOS
29.200000,BRAZOS_CRUZADOS
29.300000,BRAZOS_CRUZADOS
29.400000,BRAZOS_CRUZADOS
29.500000,BRAZOS_CRUZADOS
29.600000,BRAZOS_CRUZADOS
29.700000,BRAZOS_CRUZADOS
29.800000,BRAZOS_CRUZADOS
29.900000,BRAZOS_CRUZADOS
30.000000,BRAZOS_CRUZADOS
30.100000,BRAZOS_CRUZADOS
30.200000,BRAZOS_CRUZADOS
30.300000,BRAZOS_CRUZADOS
30.400000,BRAZOS_CRUZADOS
30.500000,BRAZOS_CRUZADOS
30.600000,BRAZOS_CRUZADOS
30.700000,BRAZOS_CRUZADOS
30.800000,BRAZOS_CRUZADOS
30.900000,BRAZOS_CRUZADOS
31.000000,BRAZOS_CRUZADOS
31.100000,BRAZOS_CRUZADOS
31.200000,BRAZOS_CRUZADOS
31.300000,BRAZOS_CRUZADOS
31.400000,BRAZOS_CRUZADOS
31.500000,BRAZOS_CRUZADOS
31.600000,BRAZOS_CRUZADOS
31.700000,BRAZOS_CRUZADOS
31.800000,BRAZOS_CRUZADOS
31.900000,BRAZOS_CRUZADOS
32.000000,FIRMES
32.100000,FIRMES
32.200000,FIRMES
32.300000,FIRMES
32.400000,FIRMES
32.500000,FIRMES
32.600000,FIRMES
32.700000,FIRMES
32.800000,FIRMES
32.900000,FIRMES
33.000000,FIRMES
33.100000,FIRMES
33.200000,FIRMES
33.300000,FIRMES
33.400000,FIRMES
33.500000,FIRMES
33.600000,FIRMES
33.700000,FIRMES
33.800000,FIRMES
33.900000,FIRMES
34.000000,FIRMES
34.100000,FIRMES
34.200000,FIRMES
34.300000,OTRO
34.400000,OTRO
34.500000,FIRMES
34.600000,FIRMES
34.700000,FIRMES
34.800000,FIRMES
34.900000,FIRMES
35.000000,FIRMES
35.100000,FIRMES
35.200000,FIRMES
35.300000,FIRMES
35.400000,OTRO
35.500000,OTRO
35.600000,OTRO
35.700000,OTRO
35.800000,OTRO
35.900000,OTRO
36.000000,OTRO
36.100000,OTRO
36.200000,OTRO
36.300000,OTRO
36.400000,OTRO
36.500000,OTRO
36.600000,OTRO
36.700000,OTRO
36.800000,OTRO
36.900000,OTRO
37.000000,OTRO
37.100000,OTRO
37.200000,OTRO
37.300000,OTRO
37.400000,OTRO
37.500000,OTRO
37.600000,OTRO
37.700000,OTRO
37.800000,OTRO
37.900000,OTRO
38.000000,OTRO
38.100000,OTRO
38.200000,OTRO
38.300000,FIRMES
38.400000,FIRMES
38.500000,FIRMES
38.600000,FIRMES
38.700000,FIRMES
38.800000,FIRMES
38.900000,FIRMES
39.000000,OTRO
39.100000,OTRO
39.200000,OTRO
39.300000,OTRO
39.400000,OTRO
39.500000,FIRMES
39.600000,FIRMES
39.700000,FIRMES
39.800000,FIRMES
39.900000,FIRMES
40.000000,OTRO
40.100000,FIRMES
40.200000,FIRMES
40.300000,FIRMES
40.400000,FIRMES
40.500000,FIRMES
40.600000,FIRMES
40.700000,FIRMES
40.800000,FIRMES
40.900000,FIRMES
41.000000,FIRMES
41.100000,FIRMES
41.200000,FIRMES
41.300000,FIRMES
41.400000,FIRMES
41.500000,FIRMES
41.600000,FIRMES
41.700000,OTRO
41.800000,OTRO
41.900000,POSICION_FETAL
42.000000,POSICION_FETAL
42.100000,POSICION_FETAL
42.200000,POSICION_FETAL
42.300000,POSICION_FETAL
42.400000,POSICION_FETAL
42.500000,POSICION_FETAL
42.600000,POSICION_FETAL
42.700000,POSICION_FETAL
42.800000,POSICION_FETAL
42.900000,POSICION_FETAL
43.000000,POSICION_FETAL
43.100000,OTRO
43.200000,OTRO
43.300000,OTRO
43.400000,OTRO
43.500000,OTRO
43.600000,OTRO
43.700000,OTRO
43.800000,OTRO
